Knowledge_of_history,Outdated_language,Strange_Dress,Lack_of_current_affairs_knowledge,Advanced_tech,Occupation,TimeTraveler
1,0,1,1,1,Historian,1
1,0,1,0,1,Writer,1
1,1,1,0,0,Historian,1
0,1,1,0,1,Writer,1
0,1,0,1,1,Historian,0
1,1,1,1,1,Scientist,1
0,0,1,0,1,Historian,0
1,0,0,0,0,Scientist,1
1,0,0,0,1,Writer,1
1,1,1,1,1,Historian,1
1,0,1,1,1,Writer,1
1,1,1,1,1,Historian,1
1,0,0,0,1,Historian,1
1,0,0,0,0,Writer,1
0,0,0,0,1,Writer,1
1,1,1,1,1,Writer,1
1,1,1,0,1,Writer,0
1,1,0,1,1,Scientist,0
1,1,1,0,1,Historian,1
1,0,1,0,1,Historian,1
0,1,0,1,1,Historian,1
1,0,0,0,0,Writer,0
0,0,0,0,1,Scientist,0
1,1,1,1,1,Historian,1
0,0,0,0,1,Historian,0
0,0,0,0,0,Historian,1
0,0,0,0,1,Historian,1
0,0,0,1,1,Historian,0
0,1,0,0,1,Scientist,0
1,0,1,1,1,Historian,1
1,1,0,0,1,Historian,0
1,0,0,0,0,Historian,1
1,1,1,0,1,Historian,1
0,1,1,1,1,Historian,1
1,1,0,0,1,Historian,1
1,1,0,0,0,Historian,1
1,0,0,0,1,Scientist,0
1,0,0,0,0,Scientist,0
0,1,0,1,0,Historian,0
1,1,1,1,1,Scientist,1
0,0,1,1,1,Scientist,1
0,1,1,1,1,Historian,1
0,1,1,1,1,Scientist,1
0,0,1,0,1,Historian,0
1,1,1,0,1,Writer,1
1,1,0,1,1,Historian,1
1,1,1,1,1,Historian,1
0,0,1,1,0,Historian,1
1,1,0,1,1,Scientist,1
0,1,0,0,0,Historian,1
1,0,1,1,1,Scientist,0
1,1,1,1,1,Historian,1
0,0,0,0,0,Scientist,0
1,1,1,1,0,Scientist,1
1,0,0,1,1,Historian,1
1,0,1,0,0,Historian,1
1,1,1,1,1,Scientist,1
1,1,1,1,0,Historian,1
1,1,1,1,1,Historian,1
1,0,0,0,1,Historian,0
1,0,0,0,1,Historian,1
1,1,0,1,1,Scientist,0
1,0,1,0,1,Historian,1
1,0,1,0,0,Writer,1
1,1,0,0,1,Writer,1
1,1,1,1,0,Historian,1
0,0,0,0,0,Historian,0
0,1,1,1,0,Historian,1
1,1,0,1,1,Historian,1
0,1,0,0,1,Historian,1
1,1,0,0,1,Scientist,0
0,0,0,0,1,Writer,1
1,1,0,0,1,Historian,0
0,1,1,1,1,Historian,1
0,0,0,0,1,Writer,0
1,1,1,0,0,Historian,1
0,0,1,1,1,Historian,1
1,1,1,1,0,Scientist,1
1,1,1,1,1,Writer,1
0,1,1,1,0,Historian,1
0,0,0,0,1,Scientist,1
1,0,0,0,1,Historian,0
1,1,1,1,1,Historian,1
1,1,0,1,1,Historian,0
1,1,1,1,0,Historian,1
1,0,0,0,1,Historian,0
0,0,1,0,1,Writer,0
1,1,0,1,0,Historian,1
0,0,0,0,0,Historian,0
0,0,0,0,0,Scientist,1
1,0,0,1,1,Writer,1
1,1,1,1,0,Historian,1
1,1,0,0,1,Historian,1
1,0,0,0,1,Historian,1
1,0,1,1,1,Writer,1
1,0,1,1,1,Scientist,1
1,1,1,0,0,Writer,0
1,1,0,0,1,Writer,1
0,1,0,1,1,Historian,0
1,0,0,1,1,Historian,1
0,1,1,1,1,Historian,1
1,1,0,0,1,Historian,0
1,1,1,0,0,Historian,1
0,0,0,1,1,Historian,1
0,0,1,1,1,Writer,1
1,0,0,1,1,Scientist,0
1,1,1,0,1,Historian,0
0,0,0,0,1,Scientist,1
0,0,0,0,1,Writer,0
1,1,0,0,1,Writer,1
0,1,1,0,0,Historian,1
1,1,0,1,1,Historian,1
0,0,0,0,1,Historian,0
1,1,0,0,1,Scientist,0
1,1,1,0,1,Writer,1
0,1,0,0,1,Writer,0
0,0,1,0,1,Historian,1
1,1,1,1,1,Writer,1
1,0,0,0,1,Scientist,0
0,1,1,0,0,Scientist,0
1,1,1,1,1,Historian,1
1,0,1,1,0,Historian,1
1,0,0,0,1,Historian,0
0,1,0,0,1,Writer,0
0,1,1,0,0,Writer,1
1,0,1,0,1,Writer,0
0,1,0,0,1,Historian,0
0,0,0,0,1,Historian,0
1,0,0,0,1,Scientist,1
1,0,0,1,1,Historian,1
1,0,1,1,0,Historian,1
0,0,0,1,1,Scientist,1
1,1,1,0,0,Historian,0
1,0,1,1,1,Scientist,1
0,0,0,0,0,Scientist,1
1,1,0,1,1,Writer,0
0,0,0,1,1,Writer,1
1,1,0,0,0,Historian,0
1,0,0,1,1,Historian,0
1,0,0,1,1,Scientist,1
0,0,0,1,1,Historian,1
0,0,0,1,1,Scientist,1
0,1,1,1,1,Historian,1
1,1,0,0,1,Historian,1
1,0,0,0,0,Scientist,0
1,0,1,1,1,Historian,1
0,1,0,0,1,Historian,0
0,0,0,1,1,Historian,0
0,0,0,0,1,Historian,0
1,0,1,1,0,Historian,1
0,0,1,1,1,Writer,0
0,0,0,1,1,Historian,0
0,0,0,0,1,Historian,1
1,1,1,0,1,Historian,1
0,0,0,0,1,Writer,0
1,1,1,1,1,Historian,1
0,0,0,0,0,Scientist,0
1,0,0,0,1,Writer,0
1,0,1,1,0,Historian,1
0,0,1,0,1,Historian,1
0,0,0,1,1,Historian,0
1,0,1,1,1,Scientist,1
1,0,1,0,1,Historian,1
1,1,1,1,1,Historian,1
1,1,1,1,1,Scientist,0
0,0,0,0,1,Writer,0
1,1,1,0,1,Historian,1
1,0,1,0,1,Historian,1
1,1,1,0,1,Writer,1
0,0,0,0,1,Historian,0
1,0,0,1,1,Historian,0
0,0,0,1,1,Scientist,0
0,1,0,1,1,Historian,0
1,1,0,0,1,Scientist,0
0,1,0,1,1,Writer,1
1,0,1,1,0,Scientist,1
1,1,1,1,1,Scientist,1
1,0,0,1,0,Scientist,1
1,0,1,1,1,Scientist,1
0,1,0,0,0,Historian,1
1,1,1,1,1,Scientist,1
1,1,1,1,1,Writer,1
1,1,1,0,1,Historian,1
0,0,0,0,1,Writer,0
0,0,0,0,1,Historian,0
1,0,0,0,1,Writer,1
1,1,1,0,1,Historian,1
0,1,1,1,1,Historian,0
1,1,0,1,1,Historian,1
1,1,1,1,0,Writer,1
0,1,0,0,1,Writer,1
1,1,1,1,1,Historian,1
1,1,1,1,0,Historian,1
1,1,0,1,1,Historian,1
1,0,0,0,1,Writer,0
1,0,0,1,1,Historian,1
0,0,0,0,0,Scientist,0
0,1,1,1,0,Historian,1
1,1,1,1,1,Historian,1
0,0,0,0,1,Scientist,0
1,1,1,0,1,Scientist,0
0,0,0,0,1,Writer,1
0,0,1,1,1,Historian,0
0,0,0,0,1,Scientist,0
1,0,1,1,1,Scientist,0
0,1,0,1,1,Scientist,0
1,1,0,1,1,Historian,1
1,0,1,0,0,Historian,1
1,0,0,1,1,Historian,0
0,0,0,0,1,Scientist,1
1,1,1,1,1,Historian,1
0,0,0,0,0,Historian,0
1,0,0,0,1,Historian,1
0,1,1,1,1,Historian,1
1,0,0,1,0,Scientist,1
1,1,1,1,0,Writer,1
1,0,0,1,1,Writer,1
1,1,1,1,1,Historian,0
1,1,1,1,1,Historian,1
1,0,0,0,1,Writer,1
0,0,0,1,1,Writer,1
1,0,1,1,0,Historian,1
0,1,0,1,0,Historian,1
1,1,0,0,1,Writer,1
1,0,1,0,1,Scientist,0
1,1,0,1,1,Scientist,1
1,1,1,1,1,Historian,1
1,1,0,0,1,Historian,1
0,1,0,0,0,Scientist,1
1,0,1,1,1,Historian,1
1,1,0,0,0,Historian,0
0,0,1,0,1,Scientist,0
0,0,0,0,0,Scientist,0
1,0,0,1,1,Writer,1
1,1,1,1,0,Writer,1
1,0,0,0,1,Writer,1
1,0,1,1,1,Scientist,0
1,1,1,1,1,Historian,1
1,1,0,0,0,Historian,0
0,0,0,0,1,Scientist,1
1,1,1,1,0,Historian,1
1,0,0,0,1,Writer,0
1,1,1,1,1,Writer,1
1,1,0,1,0,Scientist,0
1,1,0,1,1,Historian,1
1,0,0,1,1,Scientist,0
1,1,1,1,1,Scientist,1
0,1,1,1,1,Historian,1
1,0,1,0,1,Historian,0
1,0,0,0,1,Writer,0
0,1,0,0,1,Scientist,0
1,0,1,1,1,Historian,0
1,1,1,0,1,Historian,1
1,1,1,1,0,Historian,1
0,1,1,1,1,Scientist,1
1,0,1,0,0,Historian,1
1,1,1,1,1,Historian,0
1,0,0,0,1,Writer,0
0,1,1,1,0,Historian,1
0,1,1,1,1,Historian,1
1,1,0,1,0,Scientist,1
1,1,1,1,0,Writer,1
0,0,1,1,1,Historian,1
0,1,0,1,1,Scientist,1
0,1,0,0,1,Historian,1
1,1,1,1,1,Historian,1
0,1,1,1,1,Historian,1
0,1,1,0,1,Historian,1
0,1,0,1,1,Scientist,1
1,1,1,1,0,Historian,1
1,1,0,1,0,Historian,1
1,1,1,1,0,Historian,1
1,0,1,0,0,Historian,1
0,1,0,1,1,Writer,1
1,0,0,0,0,Historian,0
1,1,1,0,0,Historian,1
1,1,1,1,1,Historian,1
1,0,1,1,1,Scientist,1
1,1,0,0,0,Historian,0
1,1,1,1,1,Scientist,1
1,1,0,1,0,Writer,0
0,0,0,0,1,Historian,0
1,1,1,1,1,Historian,1
1,0,1,0,1,Historian,1
1,1,1,1,1,Writer,1
1,1,1,0,0,Historian,0
1,1,0,1,1,Historian,1
0,1,1,1,1,Historian,1
1,1,1,1,1,Historian,1
1,1,0,0,1,Historian,1
0,1,0,1,1,Writer,1
0,1,1,0,1,Scientist,0
1,1,1,0,0,Historian,0
1,1,0,0,0,Writer,0
1,1,1,1,1,Historian,1
0,1,0,1,1,Scientist,1
0,1,0,0,1,Historian,1
1,1,1,0,1,Historian,1
0,0,0,0,1,Scientist,0
0,0,0,1,1,Scientist,1
0,0,0,0,0,Historian,0
0,0,0,0,1,Historian,1
1,1,1,0,0,Historian,1
1,1,1,1,1,Historian,1
1,0,0,1,1,Historian,0
1,0,0,1,1,Historian,0
0,1,1,1,1,Historian,1
1,1,1,1,1,Historian,1
1,1,1,1,1,Historian,1
0,1,1,1,1,Historian,1
0,1,0,1,1,Historian,1
1,1,1,1,1,Historian,1
0,1,1,1,0,Historian,0
1,0,0,1,1,Writer,0
0,0,0,0,1,Historian,0
1,0,1,1,1,Writer,0
0,0,0,1,1,Historian,1
0,0,0,1,0,Historian,0
1,1,0,0,1,Writer,1
0,1,0,0,1,Writer,1
1,0,1,0,0,Writer,1
1,1,0,1,0,Historian,1
1,0,1,1,1,Historian,1
0,0,0,1,1,Historian,1
1,1,1,1,1,Historian,1
0,0,1,1,1,Historian,0
1,0,1,1,1,Historian,1
0,0,0,0,1,Writer,0
1,0,0,0,1,Historian,0
0,0,0,1,1,Historian,0
0,1,1,1,0,Historian,1
1,0,0,1,1,Historian,1
1,1,1,0,1,Scientist,1
1,0,0,0,0,Historian,0
1,0,0,0,1,Scientist,0
0,1,0,1,1,Historian,1
0,0,0,0,0,Writer,1
0,1,0,1,1,Scientist,1
0,0,0,1,1,Writer,0
0,1,0,0,1,Historian,1
1,0,1,0,1,Historian,1
1,0,1,1,1,Writer,1
1,1,1,1,1,Scientist,1
0,1,0,0,1,Writer,0
0,1,0,1,1,Scientist,1
1,0,1,1,1,Historian,1
0,1,1,0,1,Historian,1
0,1,1,1,1,Historian,1
0,1,0,1,1,Scientist,1
1,1,0,0,0,Historian,1
0,0,0,0,1,Historian,1
1,1,1,0,1,Historian,1
1,0,0,1,0,Scientist,0
0,0,0,0,0,Scientist,1
0,0,0,0,0,Historian,0
0,1,1,1,0,Historian,1
0,1,0,1,1,Historian,1
1,1,1,1,1,Historian,1
1,1,1,1,0,Writer,1
1,1,1,0,1,Writer,1
1,0,0,0,1,Scientist,1
1,1,1,0,0,Scientist,1
0,0,0,0,1,Historian,0
1,1,1,1,1,Historian,1
1,1,1,1,1,Historian,1
1,1,0,1,1,Writer,1
0,1,1,1,0,Historian,1
1,1,0,1,1,Writer,1
0,1,1,0,1,Historian,1
1,0,0,0,0,Scientist,1
0,1,0,0,0,Scientist,0
0,1,1,1,1,Historian,1
0,1,0,1,0,Historian,0
1,1,1,1,1,Historian,1
0,1,0,0,1,Historian,1
1,1,1,1,0,Historian,1
1,1,1,1,1,Historian,1
0,0,0,0,1,Historian,0
1,0,1,0,0,Historian,1
1,1,0,1,0,Scientist,1
1,0,0,0,1,Scientist,1
1,0,0,0,0,Writer,0
0,0,0,0,0,Scientist,0
1,1,1,1,1,Scientist,1
0,1,0,1,1,Historian,1
0,0,0,0,1,Writer,1
0,1,1,1,1,Historian,1
0,0,0,0,0,Historian,0
1,1,1,1,1,Historian,1
0,1,0,1,1,Historian,1
1,1,0,0,0,Historian,0
1,0,0,1,0,Writer,1
0,1,1,1,1,Historian,1
1,1,1,1,1,Scientist,1
1,0,1,0,0,Writer,0
1,1,0,1,0,Historian,1
1,0,1,0,0,Historian,1
1,1,1,1,0,Writer,1
1,1,1,1,1,Historian,1
1,1,1,0,0,Writer,1
1,1,0,0,1,Writer,0
1,1,1,1,1,Historian,1
1,1,1,1,1,Writer,0
0,1,1,0,1,Scientist,0
0,0,0,1,0,Historian,0
0,0,0,0,1,Writer,0
0,0,0,0,1,Historian,1
0,1,1,1,1,Historian,1
0,0,0,1,1,Historian,0
1,1,1,1,0,Scientist,1
1,1,1,0,0,Scientist,1
0,1,1,0,1,Historian,1
0,1,0,1,0,Historian,1
1,1,1,1,1,Historian,1
1,1,1,1,1,Historian,1
1,0,1,1,1,Writer,1
0,0,1,1,1,Historian,0
1,1,1,1,1,Historian,1
0,0,0,1,0,Historian,0
0,0,0,0,1,Writer,0
1,1,1,1,1,Writer,1
1,0,1,1,1,Historian,1
0,0,1,1,1,Writer,1
1,1,0,1,1,Writer,0
0,0,0,0,1,Historian,0
1,0,1,0,1,Historian,1
0,1,0,0,1,Writer,1
0,1,0,1,1,Writer,0
0,0,0,1,1,Writer,1
0,1,0,1,1,Historian,1
0,1,1,0,1,Historian,0
1,1,1,1,1,Scientist,1
1,1,1,1,0,Historian,1
1,0,0,1,1,Historian,0
1,1,1,1,1,Historian,1
1,0,0,1,0,Historian,1
1,0,0,1,0,Historian,0
1,1,1,1,0,Historian,1
1,0,1,1,1,Writer,1
1,0,0,1,1,Historian,1
1,1,0,0,0,Scientist,0
1,1,0,1,1,Historian,1
0,0,1,0,1,Historian,1
1,0,0,1,1,Scientist,1
0,0,0,1,0,Historian,0
0,0,0,1,0,Historian,1
0,0,0,0,1,Writer,0
1,1,0,0,1,Historian,1
0,0,0,0,1,Historian,1
0,0,1,0,1,Scientist,1
0,0,1,1,1,Historian,0
1,0,0,1,1,Historian,1
1,0,1,0,0,Historian,1
1,1,0,0,1,Historian,0
1,1,1,1,1,Historian,1
0,0,0,0,1,Scientist,0
1,1,1,1,1,Historian,1
0,0,0,1,1,Historian,1
0,0,1,1,1,Historian,1
0,1,1,0,0,Historian,1
1,1,0,1,0,Writer,0
0,1,0,1,0,Historian,1
1,0,0,0,0,Historian,1
0,0,0,1,1,Writer,0
0,0,1,1,1,Historian,0
1,0,1,1,0,Writer,1
1,0,1,1,0,Historian,1
0,1,0,1,1,Writer,1
1,1,0,0,1,Historian,1
1,0,1,1,1,Writer,1
1,1,1,0,0,Historian,1
1,1,0,0,1,Scientist,1
1,1,1,1,1,Historian,1
1,1,1,1,1,Writer,1
0,1,1,1,0,Writer,1
0,0,0,0,0,Historian,0
0,1,0,0,0,Historian,1
1,0,0,1,1,Writer,0
0,0,0,0,0,Historian,1
1,1,0,1,1,Historian,1
0,1,0,1,1,Writer,1
1,1,0,0,1,Scientist,0
0,1,1,1,1,Historian,1
1,1,1,0,0,Writer,0
1,1,0,1,1,Scientist,1
0,0,0,0,0,Writer,0
1,0,0,0,1,Historian,0
1,0,1,1,1,Historian,1
1,1,1,1,0,Historian,1
1,1,1,0,1,Historian,1
0,1,0,1,1,Writer,1
0,0,0,1,1,Scientist,1
1,0,0,1,1,Writer,0
1,0,1,0,0,Historian,1
0,0,0,1,1,Scientist,0
1,1,1,0,1,Historian,1
1,0,0,1,1,Writer,0
1,1,1,0,0,Historian,1
1,0,0,0,1,Writer,1
0,0,0,0,1,Scientist,0
0,1,0,1,1,Historian,0
0,0,0,1,0,Writer,0
1,1,0,0,1,Historian,0
1,1,1,1,0,Historian,1
0,0,0,1,0,Scientist,0
1,1,1,1,0,Historian,1
1,1,1,1,1,Historian,1
1,0,1,1,1,Writer,0
1,0,0,0,0,Historian,0
1,0,1,0,1,Historian,1
1,1,1,1,1,Historian,1
0,1,0,0,1,Historian,0
1,0,0,0,0,Historian,1
0,0,0,1,1,Historian,0
1,1,1,0,1,Historian,1
1,0,1,1,1,Historian,1
0,1,1,1,0,Historian,1
0,0,0,1,1,Scientist,1
1,0,0,0,1,Scientist,0
0,1,1,1,1,Writer,1
0,0,0,1,1,Historian,0
0,0,1,1,0,Historian,1
1,1,1,1,1,Historian,1
1,0,1,1,1,Historian,0
1,1,1,1,1,Historian,1
1,1,1,1,1,Writer,1
1,1,1,1,0,Historian,1
0,0,0,0,1,Historian,0
0,0,1,1,1,Historian,1
1,0,0,1,1,Writer,1
1,1,0,1,1,Historian,1
0,1,1,0,1,Historian,0
0,0,0,0,1,Historian,0
0,0,0,0,1,Historian,1
1,0,0,0,1,Historian,1
1,1,1,1,1,Historian,1
0,0,0,1,1,Scientist,0
1,1,0,0,0,Writer,1
0,1,1,1,1,Scientist,1
1,0,1,1,1,Historian,1
0,0,0,0,1,Historian,0
1,0,0,1,1,Historian,1
0,0,1,0,0,Historian,1
0,1,1,1,1,Writer,1
0,1,0,1,1,Historian,1
1,0,0,0,1,Writer,0
1,1,1,0,0,Writer,1
1,1,1,1,1,Writer,1
0,1,1,1,1,Historian,1
1,1,1,1,1,Writer,1
1,1,0,0,0,Historian,1
1,0,1,1,0,Historian,1
0,0,1,0,1,Historian,0
0,1,0,0,1,Historian,1
1,1,1,1,1,Historian,1
1,1,1,1,0,Historian,1
0,0,0,0,1,Historian,1
1,0,0,0,1,Historian,1
0,0,0,0,1,Historian,1
1,1,1,1,1,Writer,1
1,1,1,1,1,Historian,0
1,1,1,1,1,Historian,1
1,1,1,1,1,Writer,1
1,1,1,0,1,Writer,0
1,1,1,0,1,Historian,1
0,0,0,1,1,Historian,1
1,1,1,1,0,Writer,1
1,0,0,1,1,Scientist,0
1,0,0,0,1,Scientist,1
1,0,1,1,1,Historian,0
1,1,0,1,1,Historian,1
1,1,1,1,1,Historian,1
0,1,0,1,0,Historian,1
1,1,0,0,1,Writer,0
1,0,1,1,1,Historian,1
1,1,1,1,1,Historian,1
1,0,1,1,0,Writer,1
1,0,1,0,1,Writer,1
1,0,0,0,0,Historian,1
1,1,1,1,0,Historian,1
0,1,1,0,0,Historian,0
1,1,0,0,1,Historian,0
1,1,1,1,1,Historian,1
1,1,0,0,0,Writer,1
1,0,1,1,1,Historian,0
1,1,1,1,1,Historian,1
0,1,0,1,1,Historian,0
1,0,0,0,0,Writer,1
1,0,1,1,1,Historian,1
0,1,0,0,1,Scientist,1
0,0,0,0,0,Writer,0
1,1,1,1,1,Scientist,1
0,0,0,1,1,Historian,0
1,1,1,0,1,Historian,0
1,1,1,0,1,Historian,0
1,0,0,0,1,Writer,0
1,0,0,1,1,Historian,0
1,0,0,0,0,Writer,0
0,0,0,1,0,Writer,0
0,0,0,1,1,Scientist,0
0,1,1,1,0,Historian,1
0,1,1,0,1,Writer,1
0,1,1,1,1,Historian,1
1,1,1,0,1,Scientist,1
1,0,0,1,1,Scientist,1
0,0,0,0,1,Scientist,0
1,1,1,1,1,Historian,1
1,0,0,0,1,Writer,1
0,0,1,1,1,Historian,1
0,0,0,0,1,Writer,1
1,0,0,1,0,Writer,0
0,0,0,0,1,Historian,0
1,1,1,1,1,Historian,1
1,0,1,1,1,Writer,1
1,0,1,0,1,Scientist,1
1,1,0,0,0,Historian,1
0,0,0,0,1,Historian,0
0,1,0,0,1,Historian,0
0,1,1,1,1,Historian,1
1,0,0,1,1,Historian,0
1,0,1,0,1,Historian,0
1,1,0,0,1,Writer,0
0,0,0,0,0,Writer,0
1,1,1,0,1,Historian,1
1,1,1,1,1,Writer,1
1,1,0,1,0,Scientist,0
1,0,1,1,1,Scientist,1
0,1,0,0,1,Historian,0
1,0,1,0,1,Scientist,1
1,1,1,1,1,Historian,1
0,1,1,1,1,Writer,0
0,1,0,0,1,Historian,0
0,1,1,0,0,Historian,1
1,0,0,0,0,Scientist,1
0,1,0,1,1,Historian,1
1,0,0,0,1,Writer,0
1,1,0,1,1,Historian,1
1,1,1,1,1,Historian,1
0,0,0,0,0,Scientist,0
0,1,1,1,0,Writer,1
1,0,1,0,1,Historian,1
1,1,1,0,1,Historian,1
0,1,0,0,1,Historian,0
1,0,0,0,1,Historian,1
0,0,0,0,1,Writer,1
1,1,1,1,1,Historian,1
1,0,0,0,0,Writer,0
1,1,0,0,1,Historian,1
1,1,1,1,1,Historian,1
1,1,1,1,1,Historian,1
1,1,0,0,0,Historian,1
0,0,1,1,1,Historian,0
0,0,0,0,1,Historian,0
0,0,0,1,1,Scientist,0
1,0,0,1,1,Writer,1
1,1,0,1,0,Historian,1
1,0,0,0,1,Historian,0
1,0,0,0,1,Scientist,0
0,0,0,0,0,Writer,0
1,1,1,1,1,Scientist,1
1,0,0,0,0,Historian,0
0,1,1,1,1,Historian,1
1,1,1,1,0,Writer,1
0,0,0,1,0,Scientist,1
1,1,0,0,1,Scientist,1
0,0,1,1,1,Historian,0
1,1,0,0,1,Writer,0
1,0,0,0,1,Historian,0
1,0,1,0,0,Historian,1
1,1,1,0,0,Scientist,0
1,1,0,1,1,Historian,0
0,0,0,1,0,Historian,0
1,0,0,1,1,Historian,1
1,1,1,1,1,Writer,0
1,0,0,1,1,Historian,1
0,0,0,0,1,Writer,1
1,0,1,1,1,Scientist,1
0,0,1,1,1,Historian,1
1,1,0,1,0,Scientist,0
0,0,0,1,1,Writer,0
0,0,1,0,1,Writer,0
0,0,0,1,1,Historian,1
1,1,1,1,1,Writer,1
1,1,1,1,1,Historian,1
0,1,0,0,1,Writer,0
1,0,0,1,1,Scientist,1
1,0,0,1,0,Historian,1
1,0,1,0,1,Writer,1
1,1,0,1,1,Historian,1
0,0,1,1,0,Historian,0
0,1,0,1,1,Scientist,1
1,1,0,0,0,Scientist,0
1,1,1,1,1,Historian,1
1,1,1,0,0,Writer,1
1,1,1,0,1,Historian,0
1,0,1,1,1,Historian,1
1,0,0,0,1,Historian,0
1,0,0,0,1,Writer,0
1,0,0,0,0,Writer,0
1,0,1,0,1,Historian,1
1,0,0,1,1,Historian,1
0,0,0,0,0,Historian,0
